time,position_x,momentum_z
3.2288644322161085e-19,4.971101904432445e-11,-1.7899700970798844e-21
3.290957978989495e-19,4.970546176577019e-11,-1.7899695186161438e-21
3.3530515257628814e-19,4.969990448902028e-11,-1.7899689400230394e-21
3.4151450725362684e-19,4.969434721407541e-11,-1.789968361300528e-21
3.477238619309655e-19,4.9688789940936265e-11,-1.789967782448566e-21
3.539332166083042e-19,4.9683232669603554e-11,-1.78996720346711e-21
3.6014257128564283e-19,4.967767540007797e-11,-1.7899666243561168e-21
3.6635192596298153e-19,4.9672118132360216e-11,-1.789966045115543e-21
3.725612806403202e-19,4.966656086645101e-11,-1.7899654657453447e-21
3.7877063531765887e-19,4.9661003602351064e-11,-1.789964886245479e-21
3.849799899949975e-19,4.9655446340061085e-11,-1.789964306615902e-21
3.911893446723362e-19,4.96498890795818e-11,-1.7899637268565703e-21
3.9739869934967487e-19,4.964433182091392e-11,-1.7899631469674403e-21
4.036080540270135e-19,4.9638774564058175e-11,-1.7899625669484684e-21
4.098174087043522e-19,4.9633217309015286e-11,-1.7899619867996114e-21
4.1602676338169086e-19,4.962766005578599e-11,-1.7899614065208256e-21
4.2223611805902955e-19,4.9622102804371014e-11,-1.789960826112067e-21
4.284454727363682e-19,4.96165455547711e-11,-1.789960245573292e-21
4.346548274137069e-19,4.961098830698697e-11,-1.7899596649044578e-21
4.408641820910455e-19,4.960543106101938e-11,-1.7899590841055196e-21
4.470735367683842e-19,4.9599873816869056e-11,-1.7899585031764345e-21
4.532828914457229e-19,4.9594316574536755e-11,-1.7899579221171584e-21
4.594922461230616e-19,4.9588759334023216e-11,-1.7899573409276477e-21
4.657016008004002e-19,4.9583202095329184e-11,-1.7899567596078587e-21
4.719109554777389e-19,4.9577644858455415e-11,-1.7899561781577475e-21
4.781203101550775e-19,4.957208762340265e-11,-1.7899555965772704e-21
4.843296648324163e-19,4.956653039017165e-11,-1.7899550148663833e-21
4.905390195097549e-19,4.956097315876316e-11,-1.7899544330250427e-21
4.967483741870936e-19,4.955541592917794e-11,-1.789953851053205e-21
5.029577288644322e-19,4.954985870141674e-11,-1.7899532689508257e-21
5.09167083541771e-19,4.954430147548032e-11,-1.7899526867178615e-21
5.153764382191096e-19,4.953874425136944e-11,-1.7899521043542682e-21
5.215857928964483e-19,4.953318702908485e-11,-1.789951521860002e-21
5.277951475737869e-19,4.952762980862731e-11,-1.7899509392350186e-21
5.340045022511256e-19,4.952207258999759e-11,-1.7899503564792743e-21
5.402138569284643e-19,4.951651537319644e-11,-1.789949773592725e-21
5.464232116058029e-19,4.951095815822462e-11,-1.789949190575327e-21
5.526325662831416e-19,4.95054009450829e-11,-1.7899486074270362e-21
5.588419209604802e-19,4.949984373377202e-11,-1.7899480241478084e-21
5.65051275637819e-19,4.9494286524292754e-11,-1.7899474407375996e-21
5.712606303151576e-19,4.948872931664586e-11,-1.789946857196366e-21
5.774699849924963e-19,4.94831721108321e-11,-1.789946273524063e-21
5.836793396698349e-19,4.947761490685222e-11,-1.7899456897206466e-21
5.898886943471737e-19,4.947205770470699e-11,-1.789945105786073e-21
5.960980490245123e-19,4.9466500504397154e-11,-1.7899445217202976e-21
6.02307403701851e-19,4.946094330592348e-11,-1.7899439375232765e-21
6.085167583791896e-19,4.945538610928672e-11,-1.7899433531949657e-21
6.147261130565283e-19,4.944982891448763e-11,-1.7899427687353203e-21
6.20935467733867e-19,4.9444271721526955e-11,-1.789942184144297e-21
6.271448224112057e-19,4.943871453040545e-11,-1.7899415994218504e-21
6.333541770885443e-19,4.943315734112387e-11,-1.789941014567937e-21
6.39563531765883e-19,4.9427600153682954e-11,-1.7899404295825126e-21
6.457728864432217e-19,4.9422042968083455e-11,-1.7899398444655323e-21
6.519822411205603e-19,4.941648578432611e-11,-1.7899392592169523e-21
6.58191595797899e-19,4.9410928602411665e-11,-1.789938673836728e-21
6.644009504752376e-19,4.940537142234086e-11,-1.789938088324815e-21
6.706103051525763e-19,4.939981424411443e-11,-1.7899375026811688e-21
6.76819659829915e-19,4.939425706773311e-11,-1.789936916905745e-21
6.830290145072537e-19,4.9388699893197634e-11,-1.7899363309984997e-21
6.892383691845923e-19,4.938314272050873e-11,-1.789935744959388e-21
